Partner_id,type,Partner_name,Rating_score
81955,Alone,Mey,3.97
93743,Alone,Christine,4.43
94381,Alone,Alina,3.58
79483,Alone,Carla,3.91
84087,Alone,Beth,4.03
109456,Alone,Max,4.18
128594,Alone,Tanya,4.2
17154,Alone,Elissa,4.17
87580,Alone,Patrick,4.14
81093,Alone,Kara,4.06
10581,Alone,Erwan,4.08
88781,Relative,John,3.57
16205,Alone,Kara,4.23
60412,Kids,Kara,4.16
83620,Alone,Stefano,4.15
87506,Alone,Kara,3.93
79523,Alone,Angela,4.01
7935,Alone,Kara,4.05
19651,Alone,Kara,4.11
106219,Relative,Kara,4.32
115511,Relative,Ryan,3.72
84591,Alone,Isra,4.05
353,Relative,Alex,3.85
109232,Others,Eej,3.89
114524,Alone,Charles,3.96
4834,Relative,Gilad,4.21
73726,Relative,Anne,4.12
74358,Alone,Kara,4.11
74939,Alone,Kara,4.18
36148,Alone,SaeHo,4.13
129425,Alone,Erica & Tayo,4.46
3332,Alone,Kara,3.75
34820,Alone,Emily,4.1
19394,Alone,Corporate Housing,4.44
108755,Alone,Peter,3.84
23739,Alone,Jonathan,3.58
16605,Alone,Michel And Antoine,4.37
61210,Alone,Adam,4.08
43108,Alone,Remy,4.08
56233,Alone,L.R.,3.5
83327,,Maria,4.22
127967,Relative,Elizabeth Anne,3.81
110557,Alone,Carolyn,4.14
14549,Alone,Jeremy & Laura,4.13
42526,Alone,Jeremy & Laura,4.3
93877,Alone,John,3.99
100933,Alone,Tim,4
52155,Alone,Shawn,3.89
118979,Alone,Kendra,4.25
77898,Alone,Maya,4.15
6305,Partner,Kenny,4.08
59276,Alone,Kara,4.28
112475,Alone,Ben,3.96
32278,Alone,Louise,4.1
25877,Relative,Kim,3.93
79005,Alone,Kara,3.77
64995,Alone,Kara,3.82
28537,Alone,Feli,4.1
124330,Alone,Dave,4.07
23453,Alone,Ruby,3.65
115776,Alone,Jemme,4.14
94145,Alone,,3.88
90388,Alone,Fran & Jason,3.92
60631,Alone,Nina,4.42
30741,Alone,Alicia,4.08
15994,Relative,Amos Rothschild,4.11
14882,Alone,Pooran,4.17
106949,Alone,Weiyi,3.9
56686,Alone,Jeff,3.95
26874,Alone,Jeremy & Laura,3.94
55104,Alone,Katie,3.41
4065,Alone,Sara,3.63
46644,,Eric,3.47
41729,Alone,Caty,4.03
76977,Alone,Dee,3.82
66019,Alone,Helena,3.91
92493,Relative,Mike,4.04
111685,Alone,Gayle,4.02
100247,Alone,Vanessa,4.37
78462,Alone,Gayle,4.1
62518,Alone,Gayle,4.53
26656,Alone,Lonnie,4.01
100924,Relative,Stephen,4.4
103065,Alone,Noel,3.87
81592,Relative,Carmen,3.91
54648,Relative,Caroline,4.57
71420,Alone,Dorota,4.12
61201,Relative,Shawn,3.97
98343,Alone,Mackenzie,3.65
122782,Alone,Kelly,3.41
66788,Alone,Thomas,4.07
46,Relative,Ruma,3.82
19886,Alone,Mrs. Alabi,3.98
84113,Alone,Kamini,3.82
83432,Alone,William,4.12
66683,Alone,Paul,4.11
108800,Alone,Elem,3.87
30404,Alone,Daniel,3.96
31781,Alone,Denia,3.8
52076,Alone,Katherine,3.96
24046,Alone,Yael,4.08
67257,Alone,Ren,4.18
127929,Alone,Jeen,4.09
9506,Alone,Peter,4.08
3073,Alone,Sol And Coach,4.15
1442,Alone,James,3.85
92573,Alone,Irit,3.61
112930,Alone,Yiin,4.38
16964,Alone,Jim,4.2
10234,Alone,Alex And Zeena,3.94
80653,Alone,CRNY Monthly Rentals,3.87
9406,Alone,Elizabeth,3.92
97872,Alone,Aleksandra,4.12
67668,Alone,Simone,4.26
51503,Alone,Harry,3.89
36370,Partner,Katherine,4.13
43553,Alone,Peter,4.34
22878,Alone,Rhea,4.24
12418,Alone,Ashley,4.11
79198,Alone,Geri,3.8
49768,Alone,Panagiotis,4.13
19114,Alone,Neil,4.2
49092,Alone,Albert,3.82
28279,Alone,Sasha,3.88
75417,Alone,Preeti,4
20965,Alone,Mara,4.44
61265,Alone,Jose,3.76
33553,Alone,Liz,4.04
14746,Alone,AurÃ©lien,4.47
127581,Alone,(Email hidden by Airbnb),4.04
59413,Alone,Antoinette,4.02
79032,Alone,Yiin,3.96
115326,Alone,Jeremy & Laura,4.14
98959,Relative,Andrea,4.1
122131,Relative,Lindsay,4.34
61370,Alone,Greg,4.1
112303,Alone,Adam + Yulu,3.71
87638,Alone,Preeti,4.36
16141,Alone,Tony,3.96
42372,Alone,Natasha,4.02
36721,Alone,Nicholas,4.14
83056,Relative,Brigid,4.18
41834,Alone,Brandee,3.74
59284,Alone,Kelly,3.96
63966,Alone,Elizabeth,3.84
9325,Relative,Jessica,4.11
5882,Alone,Jessica,3.98
39428,Alone,Mohine,4.3
112836,Partner,Carla,3.77
120027,Alone,Ben,4.1
49940,Alone,Kaitlyn,4.15
46038,Alone,Mitchell,3.68
4520,Kids,Mimi,4.38
124107,Partner,Ray,4.13
128023,Alone,Shelia,3.9
99120,Alone,M.,3.74
88837,Alone,Janelle,4.16
82809,Alone,Miki,3.96
65376,Alone,Emily,4.06
82044,Relative,Donna,3.83
46264,Alone,Eric,4.06
48078,Alone,Qaim,3.9
48631,Alone,Clare,4
58736,Alone,Rick,3.75
22094,Relative,Genevieve,4.18
46606,Alone,Michael J,3.82
77408,Alone,Amy,3.87
124944,Alone,Shirley,4.1
52856,Alone,Claudio,4.32
44954,Alone,Kevin,4.07
78537,Alone,Chelsea,3.94
53698,Alone,Ivana And Tami,3.53
75355,Others,Mckenzie,4.11
49152,Alone,Sam,3.73
11828,Relative,Angelica,4.04
61695,Alone,Kara,4.1
84638,Alone,Michael,4.17
24254,Relative,Kara,4.3
91794,Alone,Nabilah,3.66
117164,Relative,Loretta,4.24
83411,Alone,Irina,4.05
6360,Alone,Michael,4.5
13834,Alone,Corporate Housing,4.12
4904,Alone,Joerg,4.27
56887,Alone,Anita,4.14
95408,Relative,Stephen,4.09
35269,Alone,Alex,4.64
125621,Relative,Alex,4.11
4833,Kids,Frederikke,3.5
109289,Alone,Zhaoyan,4.18
91884,Alone,Tracey,4.35
67209,Alone,Melissa,3.79
102745,Alone,Doug,3.89
2546,Alone,Marc,3.97
38104,Alone,Zineb,3.92
102120,Alone,Dominik,3.59
21485,Alone,Michelle,4.24
31650,Alone,Natalie,3.73
100407,Alone,Gregory,4.24
128807,Alone,Jessica,3.45
103159,Alone,Becky,4.15
76316,Alone,Jordan,3.88
118149,Alone,Doni,4.03
10696,Alone,Ben,4
88198,Relative,Corporate Housing,3.63
88348,Alone,Amy,4.05
45300,Alone,Kristen,3.58
10625,Alone,Sarah,3.5
32595,Alone,Feather,3.76
128048,Alone,Carol,4.24
51548,Alone,Brian,4.03
91834,Alone,Andrew,4.08
58450,Alone,Natalie,3.91
3058,Alone,Ada,4.11
2347,Alone,Alexandra,4.07
119063,Alone,Paulina,4.25
102988,Alone,Ada,3.99
123685,Alone,Jon,4.11
50227,Relative,Maggie,3.91
92871,Relative,Savion,3.61
113196,Alone,Javier,3.58
32747,Alone,Eric,4.37
119096,Alone,Eric,4.1
90253,Partner,Bill & May,4.4
6040,Alone,Barrie,4.19
110191,Alone,Bianca,4.06
16706,Alone,Laura,4.22
57285,Alone,Christine,3.78
60157,Alone,Adrien,3.8
73035,Relative,Kris,3.95
91546,Alone,Josh,3.61
74321,Alone,Peggy,3.83
29148,Alone,Salima & Carlos,3.95
65781,Alone,Rich,4.1
99674,Alone,Swathi,3.76
73306,Alone,Rich,3.96
79975,Alone,Stephanie,3.91
23557,Relative,Pierre,3.94
99631,Alone,Andrew,4.19
86857,Alone,Diego,3.81
78329,Alone,Shaye,4.18
5276,Alone,Jeremy & Laura,4.08
47596,Alone,Sheila,4.5
67417,Relative,Dustin,3.92
81731,Alone,Jam,4.02
10960,Alone,Fernando,3.91
38937,Alone,Fernando,4.15
53621,Alone,David & Suzanne,4.18
52951,Alone,Cla,4.06
3938,Alone,Nka,3.92
19765,Alone,Aric,4.05
93325,Partner,Evan & Maria,4.06
58772,Alone,Quintin,4.08
92697,Partner,Andjela,3.76
53348,Relative,Alysha,3.84
34244,Alone,Sean,3.77
5224,Alone,Graham,4.23
93022,Alone,Samantha,3.87
55517,Relative,Serkan,4.02
11376,Alone,Alankrit,4.19
59458,Alone,Anna B,3.42
89206,Alone,Sofia,3.99
15236,Alone,Natalie And Dan,3.92
63582,Alone,Jamie,3.85
114934,Relative,K Alexandra,4.23
37398,Alone,Bill & May,4.07
50114,Alone,Michele,3.78
14645,Partner,Tanya,4.16
99746,Alone,Justin,4.01
88624,Alone,Chadanut,4.43
104335,Alone,Jacqueline,4.14
75140,Alone,Daniel,3.89
11220,Alone,Ilya,4.17
81965,Alone,Peter,4.17
34179,Alone,Amanda,3.98
100076,Alone,Gabriel,3.62
27476,Alone,Guillermo,4.12
8767,Alone,Claudine,4.3
100736,Kids,Sean,4.01
4737,Alone,Patrice,3.79
66182,Alone,Madeleine,4.12
71157,Alone,Alejandro,3.7
112232,Alone,Shean,4.22
22798,Alone,Eliza,3.67
12463,Alone,Danny,3.82
24899,Alone,E.C.,3.71
74906,Alone,Nicolin,4.22
120069,Alone,Alexis,3.87
102169,Alone,Carlos,4.22
56758,Relative,Kristina,3.81
55625,Alone,Karen,3.86
36747,Alone,Nick,4.09
37075,Relative,Shirley,4.14
99377,Relative,Fer,4.04
74357,Alone,Danny,4.1
96182,Alone,Mike,3.93
127217,Alone,Buddy,4.15
9539,Relative,Matt,3.78
37877,Alone,Bill & May,4.21
4140,,Jonathan,4.18
97907,Relative,Cassandra,3.86
94876,Relative,Evan,4.48
103926,Relative,Doug,4.21
23009,Alone,Bryan,3.89
113211,Alone,Robby,4.36
11243,Alone,Young,4.31
65158,Alone,Serra,3.88
33795,Alone,Nicolas,3.86
67793,Alone,Francisco,3.83
76704,Alone,Bob,4.2
68775,Alone,Poppi,4.46
127486,Kids,Henrik,4.19
13661,Alone,Nataly,3.62
81343,Alone,Luis,4.16
65845,Alone,Britta,4.15
117259,Relative,Alexi,4.15
46205,Alone,Gabi,3.92
41168,Alone,Carmen,3.75
9802,Alone,Jackie,3.79
9262,Alone,Allison,4.26
24841,Alone,Daniela,4.05
59558,Kids,Stat,3.94
44648,Alone,Ben,3.84
30613,Alone,Anthony,3.86
69553,Alone,Martin,3.79
39371,Relative,Dlb,4.19
110882,,Irina,4.21
118063,Alone,Elizabeth,4.19
113045,Alone,Michael,3.97
100036,Alone,Martina,4.04
88511,Alone,Jonathan,4.18
7798,Alone,Laura,3.91
1598,Alone,Caitlin,4.56
109987,Relative,Alice,4.23
85536,Alone,Jeniffer,4.21
49680,,Shanie,3.96
18338,Partner,Shan,4.06
8448,Partner,Fataah,4.17
58056,Alone,JoJo,4.15
25278,Alone,Josef,3.82
87477,Alone,Jessica,3.75
54966,Relative,Franco,3.88
56475,Alone,Rem,3.98
114600,Partner,Kyle,4.04
110673,Alone,Catherine,3.84
126436,Partner,Collin,4.17
59597,Alone,Marie,4.04
1891,Alone,Danny,4.46
116140,Alone,Miriam,4.07
23919,Alone,Aldo,4.29
29958,Relative,Stacey,4.26
46346,Alone,Jocelyne,3.83
83202,Relative,Kevin,3.62
117867,Partner,K.Arina,3.78
63141,Alone,Alex,4.24
63745,Alone,Tania,3.48
24985,Alone,Jackie,4.2
55282,Alone,Daniel,3.97
60479,Relative,Kim,3.85
58528,Alone,Eugenia,3.85
25950,Alone,Jason,4.07
26099,Alone,Rishe,3.51
2098,Alone,Gracie,4.23
82682,Alone,Jeffrey Paul,3.95
98619,Alone,Jeniffer,4.13
58444,Alone,Amber,3.68
53694,Alone,Christos,4.37
81136,Alone,Elizabeth,4.05
90615,Alone,Carole,3.77
50535,Alone,Abe,3.55
127817,Relative,Joseph,3.91
116950,Alone,Rob,4.17
101605,Alone,Manon,4.3
49435,Alone,Harry,4.08
86832,Alone,Maya,3.9
76076,Alone,Donnell,4.11
60141,Alone,Shawn,4.09
39777,Alone,Zuri,3.53
47552,Alone,Chin-Feng,3.83
128536,Alone,Viola,3.71
34707,Alone,Tim,4.26
51341,Relative,Clarissa,3.83
35134,Alone,Rachel,3.58
28967,Alone,Kevin,3.76
54170,Alone,Rob,4.23
118445,Partner,Bryant,3.89
77964,Alone,Arkadiy,3.84
57459,Alone,Jenna,3.9
100698,Alone,Scott,4.06
128035,Alone,Jeniffer,4.13
107194,Relative,Mrs. Alabi,3.67
95913,Partner,Marni,3.81
93668,Alone,Dante,4.1
8507,Alone,Anita,3.92
103196,Alone,Phillip,4.08
84975,Alone,Gabi,3.4
57790,Alone,Nkem,3.79
1096,Alone,Maggie,4.02
107190,Partner,David,4.01
64791,Alone,Grace,4.02
15906,Alone,Heidi,4.22
59762,Alone,Kali,3.93
125158,Relative,Nassim,4.12
100980,Alone,Marco,4.18
99566,Others,Martin,4.15
70161,Alone,Atlanta,3.88
67748,Partner,Alexis,4.06
37673,Alone,Aunim,3.43
66362,Alone,Adrien,4.26
4429,Alone,Grace.EJ,4.35
56572,Alone,Benjamin,4.02
107664,Alone,Katherine,3.75
64700,Alone,Sarah,3.94
54389,Alone,Samantha,4.12
63839,,Kaylin,4.35
77517,Alone,H,3.9
104448,Relative,Ellen,3.74
62484,Alone,Eli,4.02
98162,Alone,Sara,4.38
113660,Alone,Mabel,4.4
95540,Alone,Candi,3.89
76591,Alone,Joe,4.08
6577,Alone,Paulette,3.6
48741,Alone,Elika,4.02
84387,Alone,Rachel,4.11
35187,Kids,Yunqiu,4.11
69233,Alone,Kiri,4
34602,Alone,Mario,3.89
6390,Alone,Zach,3.77
129679,Alone,Nathan,4.09
9196,Alone,Brendon,3.79
37782,Alone,Susan,3.78
65319,Alone,Yahaira,4.25
49931,Alone,Cristina,4
87962,Alone,Courtney,3.97
124665,Alone,Baochan,3.89
115936,Alone,J. E,3.88
1918,Partner,Joel,4.34
36399,Alone,Lindsey,4.08
92876,Relative,MaTT,4.25
22720,Alone,Carlos Esteban,4
41897,Alone,Rose,4.18
70649,Alone,Felipe,3.92
41671,Alone,Juan,3.76
12637,Alone,Christa,3.98
49788,Alone,John 'Lance',4.14
53331,Relative,Fiona,4.11
70552,Alone,Linda,3.26
129398,Alone,Katie,4.09
117202,Alone,Tom,3.69
109008,Relative,Hua,4.01
102718,Alone,Josh,4.33
118732,Alone,Dhruti,4.13
123405,Alone,Jeremy & Laura,3.92
27389,Alone,Mila & Jon,3.88
42641,Alone,Jasmin,3.81
40716,Alone,Linda,3.71
23192,Alone,Indigo,3.67
39996,Alone,Peter,4.06
58994,Alone,Zineb,3.62
31615,Alone,Nina,3.93
21258,Alone,Michael,3.98
124513,Alone,Janelle,4.01
119683,Alone,Greta,4
84024,Alone,å¸¸æ˜¥,4.02
92854,Relative,Christie,3.7
47186,Alone,Jay,3.57
1341,Alone,Rebecca,4.03
41801,Alone,Abe & Gail,4.21
13358,Partner,Mency,3.64
111046,Alone,Monica,4.13
15750,Alone,Grant,3.77
58087,Alone,ChloÃ© Et Jean-Philippe,3.82
61716,Partner,Joe,4.19
48868,Alone,Laura,3.84
107093,Relative,Joyell,3.68
104175,Partner,Neil,3.9
7446,Alone,Michael,4.09
55121,Alone,Joe,4.02
126354,Alone,Jc,3.8
84794,Alone,Athena,3.93
26382,Alone,Diane And Ward,3.61
125375,Relative,Jamie (& Jacob),3.79
120342,Alone,Amy,4.07
4046,Alone,Razia,3.56
73466,Alone,Lydie,3.83
129019,Alone,Gillian,3.57
107088,Alone,Caleb,4.14
117755,Alone,Mathew,4.12
59833,Alone,Phil,4.03
48402,Partner,Gary,3.96
112501,Alone,Anne,4.16
27481,Alone,Emory,3.84
90469,Alone,Maya,3.99
67007,Alone,Rina,4.26
40270,Alone,Anna,4.09
19065,Alone,Natalia,3.88
129547,Alone,Ronald,4.19
49109,Alone,Takagi,3.58
22864,Alone,Madeleine,3.47
4817,Alone,Christopher,3.79
3754,Alone,Xiomara,3.59
77469,Alone,Viviana,4.31
26180,Alone,Pillo,4.06
24819,Alone,Elizabeth,3.89
45567,Alone,Cindy,3.64
108402,Alone,David,3.73
55158,Alone,Kaan,4.06
87263,Alone,Amy,4.28
119136,Alone,Amy,3.81
111798,Alone,Julian,4.13
26793,Relative,Jackie,4.11
19829,Alone,Randy,4.01
15356,,Seth,4.2
88461,Alone,Randy,4.14
96990,Alone,Jacob,4.34
39045,Alone,Clarissa,3.75
58681,Alone,Jeanne,3.77
19119,Alone,Ronald,3.74
51447,Alone,Inna,3.83
115617,Relative,Brian,4.24
73693,Alone,Laura,4.04
107529,Alone,Emily,3.75
27480,Alone,Ron,3.9
11447,Alone,Ronald,3.85
112471,Alone,Joei,4.2
82290,,PenÃ©lope,3.71
15463,Alone,Megan,4.07
92623,Alone,J,4.15
114024,Alone,Natalie,4.25
116289,Alone,Liz,3.37
125574,Alone,Sandra,4.33
59664,Alone,Alice,4.3
88654,Alone,Noreen,4.11
61664,Alone,Dante,4.03
85996,Alone,Anton,3.75
126854,Alone,Michael,3.63
71441,Alone,Kimberly,4.05
42094,Alone,Marilyn,3.79
111553,Alone,Cristina,4.53
121120,Alone,Jada,3.69
120249,Alone,Danielle,4.01
40257,Partner,Camila,4.11
56797,Alone,Kelly,3.86
83754,Alone,Nicole,3.72
179,Alone,Rose,3.7
10681,Alone,Rosa,3.82
95753,Relative,Pepper,4.14
84281,Alone,Joseph,3.67
126966,Relative,Vanessa,3.79
67222,Relative,Nick,3.91
86766,Relative,Tulika,4.36
24040,Alone,Shirah,4.26
57314,Relative,Sebastian,4.57
52238,Alone,Andrea,3.98
76427,Alone,JaNae,3.99
111173,Partner,Mike,3.91
113832,Alone,Deeva,4.57
2629,Alone,Nina,4.02
115855,Alone,Derric,4.15
26923,Partner,Aamir,3.64
22215,Alone,Charles,4.2
124574,Alone,Kuma,4.23
80209,Alone,Sarah,3.67
103921,Alone,Eva,3.67
32808,Alone,Mica,3.98
26885,Relative,J,3.83
111253,Alone,Florence,3.97
56338,Alone,Jackie,3.93
56144,Alone,Racquel,4.14
18105,Alone,Cupid,3.68
86055,Alone,Alexandre,4.08
71571,Alone,Cyrille,4.15
69361,Relative,Alyss,4.31
97788,Alone,Mike,4.53
72944,Alone,Chloe,3.61
23147,Relative,June,3.56
88883,Alone,Stephanie,3.98
129857,Alone,Anna,4.13
8156,Alone,Hernan,4.15
10688,Alone,Roxanne,4.02
107732,Alone,Hannah,4.07
108181,Alone,Vincent,3.88
2343,Alone,Rupi,4.27
115923,Alone,Belgin,3.53
65533,Alone,Keri,3.98
49543,,Jonathan,3.99
117055,Alone,Dafni,3.73
53549,Alone,Javier,4.23
109123,Alone,Nora,4.31
24448,Relative,Nikkita,4.13
60715,Alone,Terence,3.65
41868,Alone,Ben,3.94
69745,Alone,Javier,3.96
122790,Alone,Jamie,4.13
128740,Alone,Shelby,3.97
93358,Alone,Annie,4.02
108738,Alone,Ruchi,4.19
87904,Alone,Janine,3.85
36263,Alone,Graham,4.28
102719,Alone,Jeremy & Laura,3.71
39605,Alone,Max,3.91
37881,Relative,Valeska,3.81
91247,,Shayna,3.73
88447,Alone,Michael,3.92
107203,Alone,Nina,3.49
118103,Alone,Drew,4.01
123946,Relative,Jeniffer,3.51
15870,Alone,Peggy,3.85
20807,Partner,Daniela,3.74
122418,Alone,Shirley,3.73
5864,Alone,Sigal,3.63
67155,Relative,Shirley,3.99
122398,Partner,Cesar,3.81
108449,Relative,Janet,3.94
82008,Relative,Peggy,3.86
25236,Relative,Yutian,3.76
19269,Alone,Peggy,3.81
36519,Alone,Zhenya And Lenka,3.74
81782,Alone,Hurriyet AydÄ±n /,3.92
108343,Alone,Nina,3.89
127249,Alone,Matthew,3.63
119624,Alone,Michael,4.11
125867,Alone,Marios,3.87
125196,Alone,Daniel,4.19
3918,Alone,Corey,4.12
36965,Relative,Anna,4.28
119195,Relative,Leah,3.95
60292,Relative,Nikki,4.27
82668,Alone,Justin,4.25
45359,Alone,Monique Ngozi,3.92
15465,Alone,Andrea,3.94
26755,Alone,Jen,3.95
86120,Alone,Jen,3.83
111556,Alone,James,4.05
91398,Relative,Morgan,4.06
16423,Alone,Adam,3.61
105542,Alone,Arturo,3.6
76775,Alone,Monika,3.29
23397,Alone,Michele,4.01
66271,Alone,Jacob,3.11
39870,Alone,Mickael,4.11
33159,Alone,Kennedy,4.11
35335,Kids,Zhenyu,3.91
71198,Relative,Dimitris,3.75
108961,Alone,Amanda,3.55
48318,Alone,Michael,3.99
53316,Alone,Samir,4.27
43432,Alone,Nick,4.09
34773,Alone,CharlÃ¶tte,3.7
99625,Partner,Hurriyet AydÄ±n /,3.66
97587,Alone,Hurriyet AydÄ±n /,3.5
79217,Alone,Matt,3.86
78848,Alone,Ella,4.2
122930,Alone,K,3.89
49373,Alone,Michael,4.22
8958,Alone,å²‘,4.05
34550,Alone,Sarah,3.75
49527,Alone,Judy,3.83
114278,Alone,Laurence,4.23
48370,Alone,Jeremy & Laura,4.14
129003,Alone,Nina,4.14
107696,Alone,Myles,3.62
70331,Alone,Amanda,3.71
25900,Alone,Albert,3.71
87368,Alone,Flora,4.21
54368,Relative,Michelle & Eddie,4.38
1180,Alone,Heather,4.06
78135,Alone,Jason,3.86
844,Alone,Santiago,4.05
12881,Alone,Ranny,4.32
102051,Alone,Flower,4.27
116459,Alone,Mark,3.76
80200,Alone,Jinsoon,3.78
108706,Kids,Scott,4.31
20752,Relative,Dingyu,4.19
15291,Alone,Nicole,4.22
72022,Alone,Jay,3.8
84432,Partner,Robert,3.75
25251,Alone,Elisse,4.2
1201,Alone,Sarah,3.98
33663,Alone,Lauren,3.81
53376,Relative,Cristian,4.09
24251,Alone,Kate,4.14
49096,Alone,Blase,3.3
36051,Alone,Tny,3.67
100756,Alone,Kasey,3.54
65401,Alone,Marion,3.44
57877,Alone,Patricia,3.9
126009,Alone,Alba,4.27
12863,Relative,George,4.28
66626,Alone,Imanuelly,3.91
115730,Alone,Vh,3.72
100464,Alone,Lilly,4.3
26411,Alone,David,3.61
99560,Alone,Denise,4.3
41246,Alone,Nathaniel,3.9
37621,Alone,James,4.08
4364,Alone,Juan,4.21
17742,Alone,Diane,3.75
52678,Alone,Jacqueline,4.39
70718,Alone,Larissa,4.02
58537,Relative,Tyler,4.09
17002,Alone,Viviana,3.82
66303,Alone,Michael,3.9
128713,Alone,Viola,3.95
25822,Alone,Yan,3.82
120365,Alone,Yan,3.66
71221,Alone,Trish,3.8
34525,Alone,Devon,3.73
23556,Relative,Karen,3.71
128501,Alone,Ayesha,3.67
126573,Alone,Anna,3.89
84905,Relative,Zoraida,4.45
99470,Alone,Margaret,3.6
23643,Alone,Larry,3.34
22797,Alone,Hilal & Maryam,3.85
39588,Alone,Kevin,4.16
63458,Alone,An,4.32
51559,Alone,Marielle,4.18
39044,Relative,Lisa,3.5
5860,Relative,Charese,4.05
122513,Relative,Catarina,3.83
62682,Alone,Jeremy & Laura,3.77
122452,Relative,Lisa,4.11
32197,Relative,Mari,3.98
12146,Partner,Munnesa,3.88
129815,Alone,Shane,4.15
68111,Alone,Caroline,3.76
121406,Alone,Zoey,3.76
100333,Alone,Gabriel,3.64
3157,Partner,Joyce,4.26
50804,Alone,Grace,4.14
113332,Alone,Anna,4.14
9437,Alone,Cory,4.06
87252,Alone,Brandon,3.7
110031,Alone,Rachel,3.83
39630,Alone,Michelle,4.34
82632,,Emily,3.88
55795,Alone,Saskia,4.11
93516,Alone,Sammie,4.06
123226,Alone,Harlan,4.19
21069,Alone,Israel,4.24
48887,Alone,Andrew,4.29
65450,Alone,Carly,3.96
9420,Alone,Ohad,4.33
96543,Alone,Aaron,4
21335,Alone,Kathryn,3.75
30917,Alone,Jessica,3.55
54102,Alone,Carolyn,3.8
110566,Alone,Alexander,3.94
84870,Alone,Nathan,3.53
73151,Relative,Ken,3.67
123602,Alone,Ken,3.98
63595,Alone,Ken,3.88
15600,Alone,Diana,4.06
58783,Alone,Camila,4.28
33435,Alone,Matt,4.09
80056,Relative,Ramon,4.3
60409,Alone,Lucy,3.77
103940,Alone,Gina,3.79
40126,Alone,Abigail,3.44
22492,Alone,Mohammad,4.16
47879,Alone,Melissa,4.04
40276,Alone,Elin,4.13
