Repayment_id,repayment_amount,Default_Value
57668,48743,0
78771,38164,0
127094,33984,0
61830,31984,0
23832,51803,0
46414,31984,0
59571,53578,0
68686,34329,0
82725,59323,0
112544,43210,0
52833,53578,0
67967,29524,0
6967,42765,0
63724,52333,0
22561,48518,0
57931,18019,0
17117,37239,0
73374,42969,0
94272,23201,0
42652,31801,0
49117,36754,0
86646,42044,0
49069,50303,0
63349,36439,0
20681,57509,0
816,47799,0
112141,52328,0
101992,41894,0
60169,63213,0
111633,18619,0
100755,62947,0
76577,42644,0
50317,57013,0
17225,56763,0
35201,55509,0
24655,57013,0
36427,47599,0
101893,45599,0
77105,72817,0
30604,49078,0
96303,66382,0
17644,33484,0
4880,49328,0
95404,54303,0
30488,38644,0
104167,32884,0
25715,40644,0
69487,33734,0
27119,48349,0
126618,39439,0
97352,60213,0
87400,50303,0
53646,64994,0
12229,40349,0
84508,47349,0
6932,53803,0
56211,45599,0
128415,44395,0
11335,46599,0
76982,59259,0
17238,65882,0
47675,77001,0
59961,59697,0
58990,53303,0
11333,27181,0
11676,77251,0
58602,36239,0
1454,75501,0
2913,79686,0
61821,49553,0
100590,39894,0
122310,62463,0
69229,53078,0
65335,53078,0
58469,31984,0
101017,47599,0
11388,54763,0
107221,31734,0
109437,46349,0
2735,42794,0
76234,45349,0
8819,49328,0
120025,59013,0
105387,41894,0
19209,61697,0
63262,51078,0
37607,52078,0
93619,57013,0
101617,44599,0
68555,55759,0
45907,60213,0
60096,50303,0
79091,47049,0
46411,47849,0
67431,41094,0
50612,58259,0
53195,49553,0
30909,31484,0
123003,46349,0
111107,56013,0
72097,49149,0
17406,53053,0
98591,56013,0
4212,55059,0
73369,53578,0
5580,31684,0
115177,52553,0
40971,46599,0
48643,38210,0
8693,53553,0
65831,54303,0
30180,35939,0
57017,51803,0
59653,50103,0
112703,53763,0
28950,31484,0
71462,57259,0
116640,53303,0
40913,47349,0
49271,60543,0
70858,59713,0
39314,63781,0
40366,58263,0
64810,59259,0
26982,49553,0
60602,54259,0
114883,53803,0
41753,46145,0
92671,48349,0
61537,34839,0
13522,50303,0
89369,35885,0
42672,42794,0
8617,42794,0
29550,33939,0
53102,25929,0
14976,56013,0
60909,32484,0
39546,34025,0
107689,53303,0
46244,57259,0
107946,48349,0
31803,34439,0
116224,49303,0
7674,44349,0
90653,26529,0
129032,38689,0
44310,61947,0
122449,55659,0
16491,61213,0
22514,60947,0
94301,53303,0
103887,51303,0
105659,41644,0
112549,90175,0
116377,74431,0
55605,49349,0
44493,52678,0
1870,49303,0
89917,89195,0
42346,58013,0
37679,53078,0
72444,74103,0
49547,90175,0
6660,33734,0
95240,79686,0
12300,85620,0
69473,57013,0
54531,53303,0
65429,72123,0
97817,69123,0
100256,68877,0
84733,88215,0
90809,77379,0
88573,48849,0
60347,32484,0
83083,55259,0
98510,66169,0
126757,65882,0
14195,55259,0
113234,67419,0
6861,58259,0
33620,58259,0
101120,43394,0
94326,50178,0
10128,48845,0
129466,34639,0
1674,41694,0
124269,49349,0
69898,24881,0
53972,44094,0
119425,39800,0
58876,38494,0
75393,45349,0
16128,58959,0
65546,46340,0
103960,61855,0
77367,33184,0
114710,43994,0
75772,36127,0
80934,39139,0
123223,59147,0
127229,46649,0
101397,48049,0
48413,41694,0
81266,41049,0
101835,62047,0
59850,37475,0
57841,37139,0
102031,31250,0
111424,55813,0
42200,37250,0
65467,51958,0
83292,56713,0
126537,72817,0
129110,52553,0
8215,41514,0
68364,63613,0
6089,50803,0
115346,43794,0
80077,43429,0
57541,52703,0
85768,28781,0
84017,56413,0
65235,45599,0
128286,74579,0
58843,43225,0
126199,50243,0
87720,60347,0
27918,43429,0
126990,64669,0
13508,78001,0
10340,51703,0
76489,18820,0
64462,57759,0
103451,78251,0
128792,57059,0
5233,53553,0
51046,59447,0
50658,55513,0
4786,55759,0
15874,45185,0
121408,41894,0
4871,34939,0
96485,52478,0
65592,54413,0
72481,51803,0
84577,57659,0
5536,51478,0
117127,58759,0
339,43394,0
64065,49349,0
123203,47645,0
32780,44394,0
12889,57213,0
49055,43894,0
9011,53278,0
91644,60747,0
7664,34484,0
80149,42894,0
98836,58513,0
65193,49145,0
88674,27029,0
62689,53303,0
61928,54513,0
11901,35439,0
112325,43394,0
4909,55013,0
68932,61447,0
43493,29529,0
81414,49578,0
79197,38939,0
7991,30484,0
44779,52803,0
20781,60713,0
115743,60947,0
489,54303,0
93374,27029,0
31249,41894,0
48285,43710,0
116822,79686,0
30643,53078,0
7719,57013,0
108378,54078,0
6807,53803,0
67996,43894,0
92275,30484,0
35371,53880,0
70505,52078,0
62641,59259,0
80433,41394,0
19971,58759,0
9831,59913,0
65136,54078,0
44356,33484,0
20068,42210,0
42393,46349,0
22806,40394,0
95965,43894,0
122973,50303,0
39151,44645,0
88250,51778,0
115095,58513,0
126908,43394,0
109932,47849,0
110430,29029,0
35996,34939,0
125324,53303,0
116558,48349,0
101684,52303,0
81416,48349,0
120613,53095,0
22733,50003,0
41379,55759,0
51818,54700,0
10868,39310,0
34025,63947,0
64385,61713,0
96612,58013,0
37057,49145,0
31225,48849,0
51633,64350,0
123535,60447,0
9860,51578,0
5390,62947,0
119829,41894,0
35460,56759,0
84897,61447,0
6935,38439,0
17561,39339,0
10872,38939,0
91120,58259,0
34726,52578,0
99907,52803,0
44244,51303,0
39304,47349,0
39319,47645,0
63194,33484,0
110507,49300,0
121111,51303,0
67018,53803,0
82079,61713,0
72659,42394,0
64760,48945,0
94835,49903,0
2021,53881,0
51486,54259,0
9688,44860,0
38997,53639,0
24458,55353,0
67300,53304,0
25120,55290,0
59147,53669,0
51195,55189,0
29390,58038,0
36746,47545,0
105194,53639,0
16401,59713,0
62063,56013,0
108124,48145,0
87753,57559,0
63254,46828,0
59030,55353,0
48294,45349,0
34684,55650,0
30560,56100,0
43925,47349,0
45526,58113,0
34250,56356,0
101618,47578,0
42826,53394,0
21225,53600,0
85139,56345,0
8528,52079,0
124598,57559,0
35922,56085,0
67607,58448,0
72303,55001,0
5099,58014,0
29801,55002,0
115129,43394,0
56109,55353,0
39070,58259,0
103767,58484,0
87391,54259,0
51526,26529,0
96353,50304,0
18808,38139,0
40003,47849,0
64026,51300,0
82109,49444,0
7759,44705,0
89137,32484,0
85235,32484,0
93343,52803,0
84931,53394,0
18337,56334,0
123103,58013,0
64539,47349,0
117992,53565,0
78124,51303,0
90635,78579,0
36034,59259,0
95874,59713,0
78864,48645,0
126902,56513,0
98141,52578,0
93902,48645,0
62183,44394,0
83551,57513,0
47569,58947,0
30379,61213,0
7447,52803,0
120176,51803,0
21019,60947,0
48032,61213,0
33625,57513,0
22588,56513,0
120185,63213,0
106718,55759,0
47808,57259,0
68545,20190,0
24564,45349,0
93014,56759,0
97590,54513,0
67811,59447,0
51269,61447,0
49860,56259,0
51937,58013,0
80269,54078,0
18627,31841,0
72420,51578,0
61581,61713,0
118346,63947,0
51490,59259,0
47969,54351,0
71232,57513,0
124320,52578,0
35396,31984,0
97364,43894,0
62734,41894,0
35751,49803,0
42983,54303,0
112618,56798,0
120718,31484,0
122876,54303,0
53321,43394,0
26332,52578,0
45160,51803,0
54380,54759,0
3647,54259,0
108100,51803,0
94306,60213,0
5212,63947,0
62755,52803,0
92604,54759,0
106862,53078,0
114449,62447,0
64288,60447,0
126874,61447,0
64948,45849,0
25144,61947,0
31866,57259,0
108254,59259,0
71877,58013,0
110946,58413,0
45504,37862,0
105186,34341,0
128528,48349,0
82591,50103,0
100338,69617,0
66485,59947,0
26514,53103,0
115468,49149,0
35086,48349,0
36115,49349,0
96838,58013,0
108171,40394,0
50163,40349,0
66396,47145,0
127974,53810,0
62649,38841,0
9820,52303,0
94354,67382,0
123792,44394,0
12605,44394,0
83892,42210,0
122264,51303,0
107909,36689,0
91346,42969,0
3506,52553,0
59156,54263,0
12958,42644,0
120455,26529,0
33062,30484,0
45619,44395,0
70050,38689,0
122826,27529,0
121866,43394,0
128183,51078,0
105344,43394,0
40201,31484,0
59886,46145,0
52916,50553,0
127399,55263,0
24257,65132,0
105203,60463,0
115825,35689,0
34864,46349,0
29312,39439,0
33410,82686,0
121819,36439,0
57451,53303,0
9267,39439,0
77791,55259,0
3111,46349,0
5024,56509,0
90495,47349,0
115365,51303,0
96973,30734,0
28681,49349,0
91270,47349,0
119946,53303,0
32852,83686,0
124990,57259,0
5844,54078,0
104967,59947,0
34103,59013,0
47988,45599,0
37329,30484,0
76138,58013,0
117563,81033,0
65848,68169,0
15511,59947,0
14441,53303,0
72499,38439,0
117565,61447,0
122127,58413,0
25885,49349,0
79851,47849,0
16550,36439,0
94389,51303,0
28518,58413,0
104164,54078,0
77621,56513,0
94246,52303,0
122168,43394,0
3757,57859,0
95148,58513,0
33051,59713,0
50727,49803,0
102404,58447,0
48651,60947,0
78851,58259,0
127904,58259,0
98537,62647,0
18244,55759,0
30727,62947,0
39463,55759,0
113162,28984,0
26167,57513,0
117224,57759,0
101880,56259,0
103853,64182,0
105679,62447,0
107611,56759,0
13481,48349,0
60459,65169,0
122151,58259,0
41117,61947,0
102288,64369,0
77870,33484,0
20694,58259,0
93917,64169,0
41672,58259,0
121199,57759,0
115501,61947,0
16511,38439,0
92336,64169,0
121224,64882,0
79011,55013,0
126800,42394,0
112523,62447,0
31450,58513,0
62971,47645,0
3345,44349,0
106051,61747,0
55643,62213,0
106452,57759,0
112433,53803,0
2544,50303,0
47219,62713,0
109924,48849,0
82427,60147,0
4700,64882,0
24698,52303,0
59743,58759,0
93952,62447,0
107604,54259,0
7232,60213,0
32483,64669,0
99589,63213,0
113289,44349,0
55636,54759,0
105185,63213,0
31396,63969,0
28440,50303,0
53941,62213,0
18219,58947,0
78475,54259,0
11347,45349,0
112533,60713,0
24582,64169,0
36701,52403,0
69232,56213,0
25992,62713,0
32542,49803,0
699,61213,0
73780,63447,0
65785,47449,0
9221,49303,0
4485,47449,0
103203,67382,0
52184,46379,0
96103,35314,0
33114,51653,0
89100,50198,0
57404,63368,0
90500,79043,0
33057,44909,0
99788,79513,0
85264,49243,0
128803,68448,0
123988,55989,0
10728,77103,0
79434,48349,0
113472,57383,0
70056,51803,0
119430,42969,0
105923,40694,0
33460,45879,0
32373,85989,0
77394,52579,0
30215,47349,0
5454,32464,0
3914,73739,0
2327,41074,0
16333,55795,0
69247,51653,0
74724,29524,0
92551,40394,0
33602,59033,0
82368,51203,0
102565,80013,0
110772,63669,0
69019,73739,0
122711,80498,0
117594,59823,0
32868,50213,0
23307,40119,0
53785,61263,0
129121,85789,0
8848,53079,0
37424,52094,0
63685,56959,0
25527,78073,0
48472,55743,0
6337,32061,0
90679,76179,0
125553,75679,0
38755,36075,0
116435,55489,0
91879,42484,0
40916,42544,0
29308,56474,0
98402,47803,0
16744,78073,0
22959,43939,0
46787,48273,0
33776,45409,0
106316,66382,0
110623,32158,0
97424,69903,0
3098,53079,0
41978,49243,0
42269,43939,0
23238,79998,0
95489,52803,0
92533,62401,0
26284,54049,0
118318,55359,0
107958,32934,0
78122,69903,0
19582,38756,0
50518,45583,0
62226,55407,0
42871,46849,0
12420,41574,0
99289,57883,0
22652,43939,0
4944,35508,0
38152,56459,0
120224,48349,0
45174,51303,0
64396,46349,0
77306,50553,0
8226,49349,0
104910,52303,0
46256,49349,0
3999,39439,0
87070,52603,0
102607,52303,0
31153,50553,0
77825,51853,0
54650,51303,0
68751,51303,0
44219,47349,0
78960,49349,0
101623,44394,0
104544,39439,0
87553,33984,0
57588,45349,0
121811,51303,0
24427,39439,0
119184,45599,0
103687,49349,0
118744,51303,0
11371,51303,0
8502,50303,0
129453,61947,0
24573,50295,0
44340,46349,0
30361,55259,0
88219,71123,0
115445,58259,0
73045,43394,0
23957,42210,0
54057,75251,0
51737,58013,0
28239,54303,0
30298,45349,0
43024,52303,0
45709,60213,0
45972,72317,0
10166,31484,0
65365,52303,0
108399,43894,0
45706,43394,0
128140,53078,0
7505,68882,0
104344,37275,0
23190,41394,0
99782,52078,0
45865,41394,0
78975,52578,0
64392,59259,0
4243,53303,0
88870,49078,0
91906,36439,0
34560,55013,0
782,55259,0
31011,51578,0
109285,40394,0
68314,43394,0
129747,58013,0
103083,51578,0
101873,57759,0
90874,36897,0
15864,53303,0
128963,51303,0
72239,63947,0
82542,24529,0
110061,57013,0
71090,43622,0
84011,55259,0
90395,52303,0
29214,63213,0
102834,57259,0
28273,49349,0
33139,41394,0
67109,57259,0
65225,39441,0
67415,59259,0
16552,42394,0
26524,56259,0
16952,44622,0
120131,56259,0
124889,55009,0
41402,52303,0
11553,51303,0
78385,44394,0
122611,41394,0
59018,57013,0
38132,41394,0
108048,50303,0
12179,54303,0
121214,51303,0
106620,50303,0
6034,59259,0
92608,42481,0
39110,57013,0
38074,54713,0
29057,60433,0
24691,62239,0
2551,56313,0
90065,68447,0
59804,32484,0
108979,59599,0
71171,68882,0
129383,56024,0
99389,56917,0
93418,68233,0
84062,67882,0
102573,82686,0
129001,49750,0
101466,55744,0
2715,55759,0
22839,57780,0
58466,50578,0
50549,67626,0
66341,57813,0
122508,57759,0
127180,59217,0
113575,58696,0
37080,52078,0
101566,54275,0
9377,47462,0
98875,40144,0
3180,74579,0
76400,63213,0
71807,53078,0
107478,71967,0
21310,83686,0
66070,54598,0
106926,43956,0
38319,55683,0
117537,35439,0
111038,58513,0
30210,48145,0
124729,66382,0
79808,43894,0
15991,67419,0
103768,82186,0
74783,83686,0
84720,40483,0
75101,53507,0
61513,68870,0
27915,66804,0
62453,53536,0
16575,51520,0
74619,55744,0
126411,51303,0
11717,49540,0
61523,54513,0
77867,32984,0
71230,73022,0
64131,55013,0
36274,60947,0
16097,52378,0
15844,58013,0
17608,57013,0
94778,54078,0
9821,56509,0
86970,52303,0
52010,63613,0
55670,42394,0
114198,86620,0
11493,52303,0
95685,59947,0
24808,48049,0
20076,54013,0
103111,62747,0
82995,53328,0
39330,58013,0
42390,56259,0
32474,47645,0
49510,49378,0
83009,55013,0
122498,37275,0
86100,52378,0
14135,80936,0
14544,52078,0
55010,53809,0
50800,60614,0
42958,58913,0
21062,72967,0
51852,57259,0
58505,80686,0
69125,72817,0
10425,56013,0
107374,51828,0
6904,53328,0
34030,64882,0
108586,64213,0
42537,51303,0
112919,44099,0
54109,59197,0
100551,42144,0
123803,50403,0
19438,48499,0
129476,48328,0
46871,52078,0
4096,45285,0
97480,57273,0
94130,54713,0
12639,57233,0
81980,46810,0
67616,41781,0
42004,34228,0
15455,58397,0
34346,39485,0
48352,55685,0
31588,49911,0
43648,36530,0
30095,49964,0
60762,68828,0
103494,60547,0
108945,49328,0
44243,58648,0
13757,54960,0
36169,36621,0
53266,51578,0
73154,74151,0
17179,62747,0
85485,107812,0
38874,64382,0
101564,75351,0
43458,54559,0
74372,41840,0
114174,53107,0
26913,73225,0
65593,50378,0
96745,61647,0
50325,58527,0
64353,35537,0
123561,64282,0
99429,48760,0
49894,73951,0
48904,62447,0
46116,50003,0
24913,69669,0
44676,64832,0
79304,70059,0
924,49254,0
111705,107741,0
110915,77951,0
32703,54817,0
15767,60713,0
60476,55069,0
93675,55613,0
34136,63182,0
13217,74211,0
35306,57317,0
110052,72133,0
86748,68985,0
15666,48049,0
52788,73123,0
35482,76451,0
123579,63547,0
113874,38475,0
76751,62047,0
13280,72917,0
34275,77751,0
87261,63882,0
35427,69517,0
7511,53878,0
28069,61955,0
31102,49078,0
116043,70117,0
89227,74205,0
129063,54181,0
90508,75089,0
64643,47649,0
69544,66469,0
101606,56113,0
73441,69277,0
70196,54713,0
61341,63047,0
116014,66082,0
43181,80028,0
70980,53303,0
39896,40852,0
109809,60647,0
102815,56259,0
56249,60683,0
94886,55965,0
4255,91880,0
93001,75191,0
5054,57745,0
54806,63682,0
93810,60199,0
90088,60247,0
2585,69417,0
71930,66869,0
90184,57059,0
112655,53937,0
7437,78351,0
43986,71037,0
37963,68617,0
127683,39310,0
5417,55898,0
75391,41010,0
129610,65169,0
83449,52303,0
50787,57259,0
50618,45349,0
113252,34484,0
97363,56259,0
107481,35439,0
33455,60213,0
86818,57013,0
21219,46349,0
73501,57259,0
82472,59259,0
53689,61213,0
57736,57013,0
24240,35439,0
14820,50303,0
45271,54303,0
7560,57259,0
41203,45349,0
21987,63213,0
4123,58259,0
38412,61713,0
63647,57259,0
51047,61947,0
95836,58259,0
90980,62213,0
29880,56259,0
20001,60213,0
34425,54259,0
36556,44349,0
81689,57259,0
113035,58259,0
17029,55259,0
89437,62213,0
104518,51803,0
100650,55259,0
106017,52303,0
98430,58259,0
53753,56259,0
12746,42394,0
39951,64969,0
57558,61947,0
63153,58013,0
58064,56509,0
102123,50003,0
60047,32684,0
74075,53959,0
19627,47549,0
126617,66369,0
6591,60913,0
34302,60713,0
80484,63782,0
2987,66369,0
88721,60913,0
94566,58547,0
53757,61213,0
1220,52003,0
40709,43394,0
103317,53503,0
110689,53503,0
64484,52503,0
34955,64482,0
105337,36675,0
80336,73017,0
33709,56959,0
48594,58659,0
80483,66082,0
129360,68082,0
110770,61213,0
129504,63047,0
24780,58213,0
5986,50803,0
57510,46549,0
103401,54413,0
122327,72917,0
60276,71217,0
83358,72917,0
101252,53503,0
61690,59259,0
75951,59013,0
89335,59259,0
124707,64213,0
10521,41394,0
5181,60213,0
71715,53803,0
41330,60213,0
100100,53303,0
31064,59259,0
105465,60213,0
113687,63213,0
93730,61213,0
89147,55259,0
76866,53803,0
37941,55259,0
9433,62213,0
105496,59259,0
67158,56759,0
88706,59259,0
58271,59259,0
96907,61213,0
128985,60213,0
28708,59259,0
47429,61213,0
9,61213,0
11286,62213,0
113351,59013,0
73206,42394,0
43357,58013,0
92711,61213,0
54436,61713,0
90729,60213,0
94605,55259,0
10503,34484,0
111700,60213,0
74258,60213,0
79972,49349,0
70470,61213,0
92302,61213,0
13879,60213,0
93152,63213,0
21638,57259,0
127003,59259,0
74756,59947,0
34612,60713,0
84767,58759,0
84755,57259,0
28526,57259,0
98000,59259,0
59803,58759,0
111445,26681,0
58109,61213,0
109073,61213,0
78052,61213,0
10245,73123,0
29258,59259,0
98421,60213,0
91110,60213,0
81951,64213,0
73596,61213,0
16065,59259,0
93268,50803,0
73846,62213,0
38209,56259,0
80754,62947,0
126450,61213,0
65532,59259,0
115838,58759,0
88285,61213,0
77365,60947,0
34519,59259,0
92181,59947,0
65116,45349,0
120867,60213,0
2560,59259,0
118945,63213,0
26237,59947,0
35884,59013,0
100024,59013,0
105821,59447,0
101508,59259,0
9793,71123,0
56061,61213,0
23648,61213,0
82000,41394,0
11361,34939,0
81105,59259,0
75007,60713,0
86374,70123,0
23752,59013,0
117288,60213,0
87250,59259,0
19202,52303,0
73921,59013,0
12561,60213,0
19785,87489,0
56166,61713,0
95597,49145,0
26595,55259,0
43381,62213,0
126737,63947,0
38147,52303,0
122618,46145,0
115169,64213,0
80187,57259,0
21854,59947,0
22355,56259,0
83510,56259,0
33549,56259,0
66758,54303,0
94460,61213,0
11051,69817,0
127025,65382,0
111829,49349,0
44140,42394,0
8535,67169,0
5526,70123,0
839,63213,0
52716,65669,0
30047,140900,0
114023,62213,0
91939,152768,0
129394,57013,0
43333,61213,0
20609,65169,0
116329,61947,0
74526,65169,0
84754,46349,0
126790,70123,0
108718,65882,0
62137,73817,0
67571,37939,0
29834,49349,0
121275,56259,0
89426,63213,0
128464,67169,0
30269,60947,0
116065,56259,0
91400,39439,0
40496,62947,0
46039,65682,0
9255,49349,0
261,64213,0
107910,51303,0
33109,60947,0
22246,83686,0
110906,65169,0
92421,60947,0
63577,72123,0
4768,48145,0
80606,55259,0
116861,64213,0
11648,71817,0
125796,61947,0
76423,73817,0
80922,61747,0
32684,45045,0
116551,53594,0
104321,57020,0
85950,49294,0
66520,58847,0
71654,58447,0
91132,51603,0
20078,54167,0
69900,58847,0
36092,43294,0
19404,58847,0
19138,58847,0
7187,38539,0
61383,52803,0
124008,33261,0
82728,61447,0
4088,35739,0
45115,55013,0
92659,51678,0
52282,49325,0
44367,52778,0
47223,54859,0
124833,48603,0
67858,51657,0
9921,90555,0
26326,46752,0
117886,56400,0
95582,54259,0
80944,58847,0
5057,54959,0
47124,51803,0
8934,50603,0
114155,62447,0
99350,51803,0
17623,58259,0
52560,58847,0
119725,48903,0
5135,58847,0
62067,53640,0
81511,54859,0
17508,40794,0
81189,58259,0
99532,47549,0
124048,52818,0
120418,55243,0
28158,37539,0
44202,50678,0
40650,52003,0
14888,53629,0
78928,57959,0
83909,51203,0
24111,54713,0
110178,50803,0
50464,62447,0
24214,59113,0
98732,47849,0
18927,57020,0
106356,45549,0
108504,61947,0
26713,50303,0
71491,54078,0
125664,37939,0
74142,51578,0
116917,53303,0
11222,61713,0
86529,54078,0
59820,58213,0
5193,61213,0
118099,83186,0
38675,53903,0
123663,28529,0
14678,47349,0
38537,57513,0
19216,61947,0
128030,56659,0
673,57013,0
41110,56513,0
60581,61947,0
79564,53078,0
86654,64213,0
91339,61847,0
16038,63947,0
1716,59347,0
122793,56659,0
82859,60447,0
22483,44394,0
36571,43794,0
7046,68882,0
8257,53303,0
35108,63947,0
110346,40894,0
57290,48349,0
29706,58013,0
86932,61347,0
77604,38339,0
110720,55809,0
55754,59947,0
122424,57013,0
13193,58513,0
123587,52303,0
85651,39894,0
87199,36289,0
69046,32484,0
100958,63447,0
6044,62347,0
113463,44545,0
26727,56013,0
33046,44449,0
32260,72317,0
6989,51703,0
71116,60047,0
20976,48545,0
114541,65382,0
78006,64882,0
106495,37639,0
93131,55013,0
89090,115218,0
111293,63947,0
103387,55809,0
91919,64282,0
84314,42394,0
20434,44645,0
79590,51078,0
27965,58513,0
90575,58259,0
72221,60947,0
119961,62947,0
63575,59247,0
19042,48349,0
49199,60947,0
64625,60447,0
24156,53078,0
45905,35432,0
11765,61213,0
44020,39298,0
15230,58513,0
110310,44194,0
106929,52699,0
49743,61947,0
128785,58013,0
69168,58259,0
98750,38439,0
24284,56013,0
39883,44210,0
45847,58259,0
21561,53578,0
60319,54513,0
83264,59713,0
51316,58513,0
70600,51815,0
97077,57259,0
79666,44645,0
20243,55621,0
71186,60947,0
48941,55259,0
42054,59013,0
90273,51078,0
3581,52195,0
107823,56259,0
30500,46349,0
62256,59947,0
19840,60947,0
47845,53078,0
107385,57013,0
125073,64882,0
72526,51078,0
107858,33884,0
75165,34939,0
54799,58513,0
108814,58513,0
66028,53078,0
9343,58513,0
68029,53578,0
78657,55259,0
42255,52578,0
113879,58013,0
80169,79786,0
110043,54457,0
26245,58259,0
931,83686,0
120821,61947,0
63008,58913,0
51471,59013,0
13743,52899,0
128166,45249,0
71764,58513,0
36317,59447,0
121633,60947,0
42239,53303,0
4097,57513,0
104906,61947,0
59619,59159,0
62460,58013,0
45383,55759,0
46199,58013,0
113754,58513,0
68024,37439,0
112030,58013,0
73952,46849,0
9714,62047,0
76349,63569,0
16817,74751,0
40009,57959,0
43184,50803,0
49138,39710,0
72605,62247,0
107739,39270,0
96633,82033,0
47905,59047,0
105953,80286,0
2814,50378,0
81727,28229,0
50659,74349,0
31483,48135,0
71850,49653,0
85696,70717,0
27548,51233,0
22854,55459,0
124168,62913,0
122942,49103,0
58872,64669,0
34844,62713,0
33500,43194,0
122067,36439,0
127608,48878,0
49661,50603,0
75841,67882,0
15688,64620,0
108096,72717,0
124300,48656,0
66835,73123,0
68856,61947,0
21698,53369,0
28210,63682,0
103708,48099,0
120868,45795,0
16048,49078,0
114984,74651,0
83653,44045,0
104393,54013,0
