Eligible_id,Client_Income,Client_Income_Type,Active_Loan,Credit_Bureau,
48198,20250,Service,0,0,
83500,15750,Service,0,0,
81191,15750,Retired,0,3,
85098,27000,Service,0,2,
54006,8550,Retired,1,2,
532,15750,,0,0,
69498,,Service,1,1,
83499,6750,Service,1,1,
79484,11250,Retired,1,,
117536,11250,Service,0,1,
36296,15750,Service,1,4,
37763,13500,Service,0,0,
39829,11250,Retired,0,2,
55528,13500,Service,0,3,
36178,9450,Retired,1,0,
61329,20250,Service,0,6,
33066,11250,Service,1,2,
104269,8100,Retired,1,2,
55638,6750,Retired,1,0,
291,9135,Service,0,2,
91861,18000,Service,1,0,
18066,,Service,0,1,
105611,20250,Commercial,0,4,
42301,12150,,0,5,
60151,9000,Retired,0,,
102833,9000,Retired,1,0,
67529,13500,,0,0,
21120,15750,Service,0,1,
34336,9900,Service,0,1,
4953,20250,Service,0,6,
42063,11250,Commercial,0,3,
69375,15750,Service,0,0,
128189,15750,Retired,0,3,
20090,18000,Service,0,4,
999,18000,Commercial,1,1,
49127,15750,Service,1,,
53736,15750,Commercial,1,3,
72955,11250,Commercial,1,1,
21705,36000,Service,,1,
77807,8100,,0,3,
1819,12150,Service,0,3,
93043,6750,Govt Job,0,5,
112253,22500,Service,1,,
88581,22500,Service,1,5,
12895,22500,Commercial,0,0,
37446,22500,Commercial,1,1,
116275,11250,Service,1,1,
41103,11250,Service,1,1,
104717,9000,,0,2,
76736,15750,Commercial,,1,
102110,17100,Govt Job,0,1,
110849,13500,Service,1,1,
55516,22500,Service,0,1,
45919,22500,Service,1,5,
53126,31500,Retired,0,1,
56379,5400,Retired,0,,
23354,12600,Service,0,0,
121726,6750,Govt Job,0,1,
12295,11250,Service,0,4,
33156,13500,Service,0,0,
8971,13500,Service,1,2,
83820,27000,Service,1,3,
126588,13500,Commercial,0,0,
79412,11250,Service,0,0,
69967,11250,Commercial,0,5,
84654,17100,Retired,0,,
108280,18000,Service,0,0,
120826,16200,Retired,1,7,
1132,15750,Service,1,0,
38583,11250,Service,1,0,
2703,20250,Service,1,0,
112988,9000,Service,1,0,
68287,9000,Service,0,2,
45251,6750,Service,0,0,
85582,25650,Service,1,2,
72558,24750,Service,1,3,
98436,31500,Commercial,1,0,
97598,9000,Service,0,,
23986,20250,Service,1,1,
40756,11250,Service,0,0,
76561,13500,Retired,0,3,
20360,13500,Service,1,2,
85057,,Service,0,1,
108406,15750,Retired,1,3,
12894,18000,Service,1,0,
24461,19350,Service,1,2,
35641,13500,Service,1,6,
4859,18900,,1,6,
47066,18000,Service,1,1,
83225,18000,Service,1,2,
121336,10350,,1,,
112573,27000,Commercial,1,1,
33282,18000,Commercial,0,0,
107352,15750,Service,0,7,
35099,13500,Service,,2,
74529,13050,Retired,0,3,
74872,6750,Service,0,1,
9672,15750,Commercial,1,1,
49840,11250,Service,1,,
44877,13500,Service,1,1,
30575,13500,Service,0,3,
77602,9000,Service,0,2,
88816,11250,Service,1,,
94206,13500,Retired,0,,
75663,18000,Commercial,1,0,
89681,13500,Service,1,1,
55803,5400,Service,1,0,
8864,7200,Commercial,0,0,
863,20250,Commercial,0,,
113764,10800,Govt Job,1,,
128011,20250,Govt Job,1,2,
46438,15750,Service,0,,
14990,,Service,0,0,
72472,9000,Service,0,1,
60028,4950,Service,0,1,
30987,17010,Service,1,0,
14701,22500,Service,0,,
14761,22500,Service,0,1,
41765,6750,Service,1,6,
80469,18000,Service,1,4,
50998,9000,Commercial,0,,
81851,4950,Retired,0,0,
117701,85500,Commercial,0,0,
21055,22500,Service,1,,
115183,7650,Govt Job,1,5,
42247,22500,Govt Job,0,4,
120305,13500,Retired,0,2,
95034,12600,Service,0,,
45588,11250,Service,0,1,
12374,13500,Service,1,1,
69864,13500,Commercial,1,6,
121629,9000,Service,1,2,
26639,9900,Retired,0,3,
67550,11250,Govt Job,1,1,
65660,9000,Service,1,,
84413,22500,Govt Job,1,4,
25603,18000,Commercial,1,3,
38649,12600,Service,1,3,
82631,38250,Commercial,0,9,
1848,6750,Service,1,,
4052,9000,Commercial,0,3,
115951,,Service,1,0,
39466,13500,Service,0,2,
116955,9000,Service,1,0,
49942,31500,Commercial,0,,
6874,,Retired,0,2,
109711,11700,Service,1,0,
39924,,Govt Job,1,1,
53878,22500,Commercial,1,1,
7434,6750,Service,1,0,
105144,18000,Service,0,1,
71147,8550,Service,0,0,
22341,31500,Retired,0,4,
66138,18000,Retired,1,1,
84167,13500,Govt Job,1,1,
90034,12150,Service,0,0,
51278,15750,Commercial,1,1,
116533,12150,Service,0,2,
36423,22500,Service,0,0,
33054,20250,Service,0,0,
40414,9900,Service,1,0,
50627,11250,Retired,1,0,
80791,6750,Service,,2,
80505,11250,Retired,0,1,
35747,13500,Service,1,2,
122804,15750,Service,1,1,
24211,36000,Service,0,2,
73112,15750,Service,0,,
37338,15750,Commercial,0,1,
96718,9900,Govt Job,1,2,
37715,13500,Service,1,6,
33981,7875,Govt Job,0,,
48853,11250,Commercial,0,7,
34437,9000,Retired,0,0,
9413,22500,Govt Job,0,2,
128381,11250,Retired,0,1,
96169,11250,Commercial,0,9,
39770,20250,,0,1,
110991,13500,Commercial,1,1,
129038,,Service,1,5,
54533,11250,Retired,0,3,
115115,22500,Service,0,,
127501,36000,Commercial,1,,
13712,22500,Service,1,5,
65734,11250,Service,1,4,
85602,13050,Service,0,0,
32392,10508.4,Commercial,0,,
30198,13500,Service,0,,
19826,,Commercial,1,3,
61448,13500,Service,0,1,
56761,20250,Service,0,2,
47731,12150,Service,1,0,
103303,15750,Service,1,1,
72707,18000,Service,0,0,
24931,22500,Service,0,8,
14629,9000,Retired,1,,
107703,14400,,0,0,
89418,13050,Retired,0,0,
15582,23400,Service,0,0,
15547,9000,Retired,0,2,
122764,15750,Retired,1,4,
24651,11250,Commercial,1,2,
73047,15750,Retired,1,2,
64305,22500,Commercial,1,1,
124818,27000,Retired,0,5,
105473,17100,Service,0,0,
37946,11250,,1,0,
34178,13500,Retired,0,,
64173,7650,Govt Job,0,1,
19418,33750,Commercial,0,3,
127816,11250,Service,0,4,
56502,18000,Service,0,2,
66147,,Service,1,0,
107366,9900,Service,0,2,
25379,6750,Service,0,2,
53444,9450,Retired,1,0,
26420,27000,Commercial,1,0,
52827,36000,Commercial,0,1,
55897,11250,Retired,0,5,
21243,29250,Commercial,0,0,
7913,18000,Service,1,1,
54970,9000,Service,1,1,
27049,17550,Service,1,5,
71958,13770,Service,1,0,
70871,18000,Service,,2,
115166,15750,Service,1,5,
119027,27000,Commercial,0,3,
32062,16650,Commercial,1,2,
4430,18000,Commercial,0,,
94801,45000,Service,0,0,
39086,36000,Service,0,2,
61147,13500,Commercial,0,4,
17699,9000,Service,1,0,
112992,10350,Service,0,4,
61428,13500,Retired,1,7,
74393,11250,Service,,0,
32685,,Retired,1,2,
54826,9000,Commercial,1,3,
37231,31500,Service,1,2,
57043,18000,Govt Job,0,,
6495,13500,Service,1,2,
109997,13500,Service,0,3,
34827,13500,Service,0,3,
9247,11250,Commercial,0,,
21637,54000,Commercial,0,0,
76170,22500,Service,1,2,
12057,22500,Govt Job,1,1,
9176,8100,Service,1,1,
92192,15750,Service,1,4,
46093,15750,Commercial,0,1,
112025,18000,Commercial,0,1,
71443,13500,Commercial,,2,
60303,8100,Service,0,4,
126755,20700,Retired,0,1,
44925,26132.85,Service,0,3,
96603,6750,Commercial,0,,
69734,6750,Service,1,,
78802,10350,Govt Job,0,1,
89193,11250,Commercial,0,2,
40102,18000,Service,0,0,
19573,7200,,1,1,
74419,49500,Service,0,6,
66178,33750,Commercial,0,3,
92270,14400,Service,1,4,
78460,13500,Service,1,2,
3460,13500,Govt Job,0,3,
74060,18000,Retired,0,0,
97333,13500,Commercial,1,5,
126187,9000,Govt Job,1,7,
98883,7650,Govt Job,0,,
51142,45000,Commercial,0,6,
70666,18900,Commercial,0,4,
105443,11250,Commercial,1,6,
79913,31500,Govt Job,1,0,
51756,29250,Commercial,0,4,
63674,11250,,0,,
51151,18000,Service,1,1,
115603,24750,Service,0,4,
22361,20250,Retired,0,2,
97507,20250,Service,1,0,
59442,11250,Service,1,0,
15400,6300,Retired,0,,
11749,7650,Service,1,1,
114365,24750,Commercial,1,4,
66424,31500,Retired,0,,
33129,18000,Service,1,0,
21039,20700,Govt Job,0,1,
37064,9000,Commercial,0,3,
77843,24750,Service,0,4,
15602,22500,Service,0,3,
90122,8100,Retired,1,0,
106273,6313.95,Retired,1,1,
28157,5535,Retired,0,1,
108924,15750,Service,0,0,
32984,13500,Commercial,0,0,
63651,27000,Service,1,2,
72121,13500,Retired,0,5,
68350,27000,Commercial,1,3,
46595,27000,Commercial,0,2,
118952,15750,Service,0,0,
16437,11250,Service,1,4,
39981,15750,Service,1,0,
42354,13050,Service,0,1,
64259,21150,Service,1,5,
127014,13500,Retired,0,3,
123244,6750,Service,0,,
55942,7650,Service,0,,
102307,21150,Service,0,1,
63550,9000,Service,1,0,
8429,11250,Service,0,,
4993,20250,Commercial,1,0,
69892,45000,Commercial,0,2,
73618,22500,Service,1,2,
98970,31500,Commercial,0,2,
74233,13500,Retired,1,5,
8946,54000,,0,0,
93480,6750,Service,1,2,
63045,11250,Service,1,5,
6670,51750,Commercial,,1,
85538,15750,Commercial,0,1,
64003,13500,Service,0,0,
89691,6750,Service,1,2,
53401,9000,Service,1,0,
55752,12150,Service,0,4,
114758,13500,Commercial,0,0,
1894,36000,Retired,0,3,
10549,15750,Service,1,2,
93187,13050,Service,1,1,
26996,11250,Service,1,,
58219,18000,Commercial,1,4,
72280,13500,Service,0,5,
126601,15750,Commercial,0,1,
9592,15750,Retired,1,,
56319,14400,Service,1,0,
32487,22500,Service,0,1,
118001,13500,Service,0,2,
20837,15750,Retired,1,9,
120739,20250,Commercial,0,0,
37148,,Commercial,1,3,
121561,18000,Service,1,2,
17647,20250,Service,1,,
103979,40500,Service,1,,
26799,11700,Retired,1,3,
108351,22500,Retired,0,1,
120520,22500,Commercial,0,,
126253,13500,Service,1,,
124058,20250,Service,0,2,
39598,13500,Govt Job,1,,
94504,13050,Retired,0,3,
21802,67500,Commercial,1,0,
86316,6525,Service,1,1,
39464,20250,Govt Job,1,0,
21201,11250,Service,1,,
22333,14850,Service,1,,
46640,13500,Service,1,3,
78627,18000,Service,0,0,
109251,9900,Service,0,,
57110,12150,Commercial,1,,
627,11250,Service,1,0,
106078,21600,Service,0,2,
36861,18000,Commercial,0,0,
52272,9000,Commercial,,,
29762,18000,Service,0,3,
99291,6750,Retired,0,3,
73947,13500,Service,0,1,
831,22050,Retired,0,0,
126314,22500,Service,0,2,
65044,6750,Service,0,1,
66189,13500,Commercial,0,1,
90196,10350,Service,0,0,
108820,22500,Service,1,4,
119858,19350,Service,0,2,
95137,13500,Commercial,0,,
75055,15750,Service,1,4,
127143,36000,Commercial,1,1,
62758,11250,,1,1,
14539,11250,Service,0,2,
53419,22500,Service,0,0,
73794,17100,Govt Job,1,2,
41406,9450,Service,0,3,
125033,15750,Commercial,0,3,
30505,5850,Service,0,,
6687,27000,Retired,1,0,
116823,20250,Service,1,5,
97284,11250,Retired,1,0,
92319,4500,Service,1,,
57093,13950,Retired,0,1,
25105,26550,,1,5,
56798,18000,Service,1,1,
14901,15750,Commercial,0,1,
43825,,Retired,0,4,
54763,9000,Commercial,0,2,
20236,9000,Retired,1,1,
129248,40500,Retired,0,,
15370,7380,Retired,0,0,
101323,9000,Service,1,3,
54950,11250,Retired,0,0,
124489,13500,Service,1,4,
116564,15750,Service,1,0,
73554,15750,Commercial,0,3,
75727,22500,Commercial,1,1,
67628,24750,Govt Job,1,6,
99966,22500,,1,3,
38970,18000,Service,1,,
49500,15750,Service,1,,
46862,6750,Service,1,5,
72667,8100,Commercial,1,,
59049,11250,Retired,0,2,
42227,18000,Retired,1,0,
32687,22950,Commercial,0,,
22320,15750,Service,0,5,
25882,7200,Commercial,0,,
61558,9000,Commercial,1,1,
27441,13500,Service,1,2,
126339,9000,Service,0,2,
86558,12150,Retired,0,1,
41651,6750,Retired,0,0,
8585,14850,Retired,1,0,
129791,,Retired,1,3,
33466,19350,Commercial,1,1,
103959,12150,Service,0,,
12205,13500,Retired,,0,
29231,13500,Retired,0,5,
93998,24750,Govt Job,0,1,
77319,6750,Service,0,2,
75443,13500,,0,0,
81007,8100,Service,1,,
58096,9900,Service,0,2,
8578,49500,Commercial,0,0,
60720,13500,Commercial,1,,
118392,13500,Service,0,6,
13440,11250,Retired,1,0,
12407,16200,Retired,1,2,
67463,9000,Retired,1,0,
74381,13500,Govt Job,0,1,
113136,11250,Govt Job,0,4,
12964,12150,Service,0,0,
56279,45000,Commercial,0,0,
125341,13500,Commercial,1,1,
52551,22500,Service,0,,
39396,10350,Retired,1,0,
116083,18000,Service,0,2,
11108,13500,Retired,1,1,
100334,9000,Commercial,0,,
57083,16650,Retired,1,2,
22915,3240,Retired,0,2,
55513,15750,Retired,0,0,
26711,9000,Service,0,0,
66316,15750,Commercial,1,0,
125990,14400,Service,0,,
45019,36000,Commercial,1,0,
38085,18000,Service,1,7,
22719,6300,Service,1,3,
27139,11250,Govt Job,0,2,
5760,29250,Commercial,0,,
59579,8100,Service,1,1,
33972,9000,Service,1,5,
126852,67500,Service,0,2,
122478,13500,Service,0,1,
11237,18000,Commercial,1,1,
85856,4500,Retired,1,1,
128076,12150,Commercial,1,0,
30964,,Service,1,1,
110086,9000,Retired,1,,
85035,36000,Commercial,1,0,
99849,22500,,0,2,
18282,9000,Retired,0,0,
124675,18000,Service,1,5,
63931,,Service,0,,
104639,31500,Service,0,,
16111,15750,Service,1,3,
94695,8100,,0,,
50486,13500,Commercial,1,3,
8316,20250,Commercial,1,9,
67618,13500,Service,1,0,
36670,11250,Service,0,3,
44157,6075,Service,0,,
38392,18000,Service,1,1,
93803,7200,Service,0,,
52749,33750,Retired,1,6,
8272,12600,Retired,1,5,
76806,11250,Commercial,0,2,
35847,24750,Retired,1,,
75064,6750,,1,5,
60789,15750,Service,0,3,
102639,24750,Service,0,3,
124091,6750,Govt Job,1,0,
29757,18000,,1,2,
72436,13500,Retired,0,2,
32171,22500,Service,0,2,
93306,9000,Service,1,3,
117239,4050,Retired,0,2,
102538,5850,Retired,1,3,
3169,,Service,0,2,
3787,15750,Commercial,0,3,
34592,13500,Retired,1,,
51709,13500,Service,0,0,
85569,7650,Commercial,0,7,
93331,4050,Service,1,,
441,11250,Service,0,2,
33923,9000,Commercial,0,1,
25447,27000,Service,1,2,
6642,18000,Commercial,0,0,
97934,6750,Service,0,3,
9800,24750,Govt Job,0,0,
91858,18000,Retired,0,2,
106483,13500,Commercial,0,1,
53596,13500,Service,1,2,
9451,36000,Retired,1,0,
67457,5664.15,Service,1,,
41042,,Service,0,5,
21547,24750,Commercial,1,2,
69003,11250,Service,1,2,
25567,4050,Retired,0,5,
51800,13500,Retired,1,2,
7802,31500,Service,0,1,
28240,15750,Service,1,,
4947,9900,Service,0,0,
39152,11250,Commercial,0,,
30761,13500,Retired,1,3,
51007,3150,Retired,0,0,
106902,8100,Retired,1,4,
79295,15750,Service,1,3,
69564,15750,Commercial,1,0,
7366,6750,Service,1,,
39992,,Service,1,,
75286,45000,Commercial,1,2,
7836,11250,Service,1,1,
34492,31500,Service,1,5,
1955,28350,Retired,1,3,
5846,9000,Service,1,1,
47349,15750,Commercial,1,5,
123430,20250,Commercial,0,1,
50706,22500,Commercial,0,2,
50532,,Service,1,3,
128812,27000,Govt Job,0,1,
17585,11250,Retired,0,,
64298,10350,Retired,0,,
93413,11250,Retired,0,,
5996,15750,Service,0,2,
56638,4500,Service,1,0,
87055,27000,Service,0,0,
34063,11250,Service,1,,
90783,27000,Service,,8,
104184,13500,Service,0,6,
18367,11250,Commercial,1,6,
36341,11250,Retired,1,9,
19219,11250,Retired,0,0,
32431,8100,Service,0,1,
109681,31500,Commercial,0,0,
22443,8010,Retired,1,1,
8773,9000,Service,0,6,
32533,15750,Service,0,0,
45503,13500,Service,0,1,
15651,20250,Service,1,4,
115871,11250,,0,0,
124467,15750,Service,0,1,
120701,31500,Commercial,1,1,
98072,5400,Service,1,0,
120861,9000,Commercial,0,2,
108804,17100,Commercial,0,1,
122792,11250,Service,0,2,
112168,20250,Retired,1,0,
86479,11250,Service,1,1,
45131,11250,Retired,1,0,
16570,21600,Service,1,7,
18764,9000,Govt Job,1,1,
128979,15750,Service,1,0,
26669,15750,Service,0,1,
113739,11250,Service,1,1,
10007,18000,Service,0,4,
114399,7650,Service,1,1,
85440,9000,Service,1,,
72217,9000,Service,1,0,
67208,18000,Commercial,0,2,
44434,15750,Commercial,1,1,
46745,18000,Commercial,0,3,
108308,18000,Retired,0,4,
62212,20250,Service,1,2,
104680,36000,Commercial,0,5,
96042,13500,Service,1,2,
76240,8100,Commercial,0,2,
74077,13500,Service,0,3,
58613,20250,Service,1,1,
60212,15750,Commercial,1,1,
79899,13500,Commercial,0,6,
129283,11250,Service,0,,
120468,35100,Retired,0,2,
110613,9000,Service,1,,
6171,16200,Service,0,2,
29444,29250,Service,0,1,
63060,9000,Service,1,2,
76351,13500,Commercial,0,,
54232,24750,Service,0,1,
66630,13500,Govt Job,,2,
78141,9000,Commercial,1,6,
85271,13500,Commercial,0,1,
30878,12600,Service,1,3,
72582,21600,Service,0,5,
126939,26100,Commercial,1,3,
85546,22500,Service,1,2,
91793,13050,Service,0,0,
58869,13500,Service,0,3,
82274,11250,Service,1,7,
23826,9000,Service,0,4,
3653,13500,Retired,1,5,
9598,15750,Service,1,7,
30644,24750,Service,1,7,
60728,15750,Commercial,0,1,
32252,45000,Service,0,0,
7628,18000,Commercial,0,1,
69259,11250,Service,0,1,
83390,6750,Service,1,2,
32259,14850,Service,0,1,
56032,11250,Service,1,,
120207,20250,Service,1,2,
89942,13500,Retired,0,6,
106064,12600,Service,1,1,
24630,,Service,1,1,
59920,14400,Service,1,0,
60223,20250,Service,1,0,
49291,15750,Service,0,0,
26610,9000,Service,0,3,
18769,15750,Service,0,3,
13605,8550,Service,1,2,
23536,11250,Retired,0,2,
64093,11250,Commercial,0,3,
20584,24750,Service,1,,
74320,9900,Retired,0,0,
101907,14400,Govt Job,1,,
119408,20250,Retired,1,,
57874,9900,Service,0,1,
116878,27000,Service,0,8,
23522,9000,Service,1,1,
21852,20250,Commercial,,0,
87848,17100,Commercial,0,1,
10107,18000,Service,1,3,
77875,13500,Service,1,0,
67859,11250,Service,0,0,
93207,27000,Commercial,0,,
94256,5400,Retired,0,,
111629,13500,Commercial,1,1,
129741,,Commercial,1,1,
38774,9000,Commercial,0,3,
80057,27000,Service,1,0,
90899,27000,Service,0,0,
45167,9000,Service,1,0,
55831,12600,Service,0,2,
111097,11250,Service,1,6,
17949,18000,Service,1,2,
78472,15750,Service,0,4,
74127,17550,Service,0,1,
81027,24750,Commercial,1,1,
116839,112500,Commercial,0,5,
99035,20250,Commercial,1,4,
20717,27000,Govt Job,1,0,
1727,18000,Service,1,7,
64332,16650,Service,1,1,
119798,13500,Service,1,4,
43970,36000,Service,0,0,
96404,15750,Service,1,7,
5899,15750,Service,0,0,
53084,24750,Service,1,4,
108039,15750,Service,1,3,
2639,6750,Retired,1,3,
3295,18000,Retired,1,3,
96666,15750,Service,0,2,
73779,18000,Commercial,0,3,
37573,11250,Retired,1,,
100922,13500,Service,0,1,
53095,7200,Retired,0,0,
63331,13500,Service,1,0,
110387,15750,Service,0,0,
28559,9000,Service,0,,
92672,13500,Service,,0,
101462,10350,Service,1,1,
7904,6750,Service,0,2,
73005,15750,Service,0,2,
110596,13500,Retired,1,6,
74716,22500,Service,1,,
76473,12600,Service,1,,
118253,11250,Service,0,,
89162,10350,Service,0,0,
29581,18000,Commercial,1,3,
17319,31500,Commercial,1,2,
92503,22500,Service,0,0,
74745,18000,Govt Job,0,1,
1079,22500,Service,1,0,
21684,6750,Service,0,1,
51127,22500,Service,,0,
120665,15750,Service,1,5,
104246,7650,Service,0,1,
80398,31500,Commercial,1,,
101048,10800,Service,,3,
66731,22500,Service,0,3,
127639,90000,Commercial,0,,
31105,15750,Service,0,1,
50997,13500,Service,0,1,
27036,5400,Service,0,,
23056,18675,Commercial,0,2,
57911,13500,Service,1,,
126515,20250,,1,3,
99952,11250,Commercial,0,,
24514,8100,Service,1,0,
24446,26100,Retired,0,0,
64485,24750,Commercial,1,3,
49052,22500,Commercial,1,1,
98899,36000,Commercial,1,3,
90928,27000,,0,3,
43878,11250,Service,1,1,
120503,14400,,1,1,
37618,13500,Retired,1,1,
107370,6750,Retired,1,0,
77982,13500,Service,0,2,
91243,12600,Retired,0,0,
15896,9000,Retired,0,0,
15302,15750,Commercial,1,1,
56412,9000,Retired,1,2,
68002,20250,Service,1,4,
32927,15750,Retired,1,,
80284,22500,Service,0,1,
100910,10800,Service,1,,
40848,15750,Govt Job,1,2,
181,18000,Commercial,1,0,
35853,,Commercial,1,2,
106965,27900,Commercial,1,1,
43371,13500,Service,1,2,
52909,13500,Service,1,,
110806,10350,Commercial,0,0,
18,13500,Govt Job,1,1,
40758,22500,Commercial,1,0,
103170,13500,Retired,0,,
59633,13500,Commercial,1,0,
7133,36000,Service,0,0,
92699,13500,Retired,0,2,
68615,13500,Service,0,1,
13789,22500,Commercial,0,3,
79455,7650,Retired,1,,
27122,21150,Service,1,1,
127924,8100,Service,1,,
74983,29250,Service,1,2,
124248,21150,Service,0,2,
2170,15750,Commercial,0,1,
33615,20250,Govt Job,0,0,
56609,6750,Retired,1,1,
30238,10800,Retired,0,,
23086,13500,Retired,1,2,
79628,54000,Service,0,,
47433,13500,Retired,,3,
112362,18000,Service,1,,
25336,27900,Commercial,1,4,
79237,11250,Service,0,,
7746,9000,Retired,0,0,
115952,18000,Service,1,1,
730,13500,Retired,0,3,
81303,22500,Service,1,2,
82857,20250,Commercial,0,0,
54154,15750,Service,1,1,
42360,22500,Service,0,0,
34038,9000,Retired,0,3,
83855,,Service,0,1,
4199,22500,Commercial,0,,
32563,11250,Service,0,1,
107118,11250,Retired,0,,
74928,18000,Service,0,,
97262,13500,Service,1,0,
96281,8100,Commercial,0,4,
72380,11250,Service,1,0,
21147,15750,Service,1,2,
7805,18000,Service,1,0,
78172,20250,Commercial,0,0,
10618,27000,Commercial,0,0,
15201,11250,Commercial,1,,
115762,8100,Commercial,1,,
46801,15750,Service,1,1,
30890,27000,Service,0,0,
54185,10800,Service,1,1,
14520,6750,Service,1,4,
120327,20250,Service,0,0,
121834,13500,Service,1,2,
11134,20250,Service,,9,
26068,15750,Service,1,2,
57650,11250,Service,,3,
76912,13500,Service,1,0,
81048,22500,Commercial,1,0,
98827,9000,Service,1,2,
31457,,Retired,0,1,
127497,11250,Service,1,5,
23046,13500,Service,1,0,
35321,29250,Commercial,1,,
3664,5400,Commercial,1,,
103414,20250,Service,0,0,
40761,10739.7,Service,0,8,
67750,22500,Service,1,4,
